Id;Label
104;S.P.D.C. OSPEDALE SBT
1001;CSM OSPEDALE SBT PAL. A 1 PIANO
1900;DH OSPEDALE AP
2100;CSM OSPEDALE AP
2900;CENTRO DIURNO AP
3100;S.R.R. AP
4100;Ambulatorio
102314;CA' ANDREA SRP2.1 SRP2 SRR
102818;LA SALUTE CADM  ALLOGGIO
103312;SRR CASA GODIO (SRP 3.1 2.1)
104304;CERRI - SRP3 - CP
110071;SAN GIUSEPPE SRP1 SRT
111306;ONLUS  SRP3 CP
112310;DT12 GRUPPO APPARTAMENTO SBT 
112802;PELAGALLO RPD
113302;SAN GIUSEPPE SRP3 CP
113305;IST BERGALUCCI RSA
113315;DT13 COSER
113850;COSER  SER
113909;SAN GIUSEPPE R3.1 RPDEM 
113957;IST BERGALUCCI RP
132100;OSPEDALE MAZZONI
999999;S FAUSTINO DI R (COOP NEFESH)
1002_1;CENTRO DIURNO COM
1002_2;CENTRO DIURNO SBT
102303_2;SERENITY HOUSE SRP3 CP
102306_1;ATENA SRP2 SRR)
102306_2;ATENA SRP3 CP
113323_1;DON VALLORANI 10 PL SRP 3.1.1 - SRP3 CP
113323_2;DON VALLORANI 5PL SRP3.3 - SRP4
113323_3;DON VALLORANI SRP2.2 SRP2 SRR
